Ticket ID,Ticket Owner,Ticket Title,Ticket Description,Ticket Cause,Ticket Created At,Ticket Updated At,Ticket Due date,Ticket Original Team,Ticket Teams,Ticket Category,Ticket Status,Ticket Labels,Ticket Indicators,Ticket State,Ticket Archived At,Task ID,Task Description,Task Author,Task Due date,Task Created At,Task Uptdated At,Task status,Ticket Priority,Ticket Zone,Ticket Equipment,Ticket Product,Ticket rule,Ticket custom_2
1568539,"Cabine Morgan","rebut le 14/10/24 a 18h42","défaut immédiat bassin de reprise EAU06Extrême queue morcelée Cr6 ( couronne bonne ) suivante rebut C57","","2024-10-14T16:58:05.348206Z","2024-10-15T07:51:18.906722Z","2024-10-14","LAC TAF N1","LAC TAF N1,LAC TAF N2,LAC Maintenance","Productivité","Eq. De Miranda","of : 4100592583,5FRU06,IMPHY 286,B5142","","","2024-10-15T07:51:18.743432Z","","","","","","","",
1560088,"Cabine Morgan","1 doublé le 11/10/2024 Coupure IH2","Arrivé à la D0 la billette s'arrête Défaut IH2, demande de coupe CR1 Manu pourarrêter la chauffe de l'IH2côte du carré 61.7x60.8 élévation 3.2 la cannelure à 150T","","2024-10-11T03:15:35.985597Z","2024-10-11T07:57:15.873592Z","2024-10-11","LAC TAF N1","LAC TAF N1","Productivité","Eq. Barresi","Phy 625,9FDA22,Of 589500,Coulée RQ176","","","2024-10-11T07:57:15.722000Z","","","","","","","",
1557293,"Cabine Morgan","Rebut Cr2 le 10/10/2024 à 10h15","Plusieurs coupures IH2 lors du passage de la billette, la billette s'engage dansle dégro et juste après bouclage dans le dégro, je rattrape mais fini par bouclédans la bc2 et casse.","Panne velocimètre (traité dans un autre ticket)","2024-10-10T08:37:49.196105Z","2024-10-11T07:56:41.948689Z","2024-10-10","LAC TAF N1","LAC TAF N1","Productivité","Eq. Barresi","Phy 625,OF 592785,coulée RQ132,Carré de 120 passé à l'IH1","","","2024-10-11T07:56:40.770737Z","","","","","","","",
1560498,"Cabine Morgan","Rebut morcelage CR2/CR4/CR6 Le 11/10/2024","En plein laminage, apparition du défaut ""Défaut non-urgent bassin de reprise"" et""défaut immédiat bassin de reprise""avec morcelage auto cr2 cr4 cr6. après le morcelage, acquitte défaut etcisailles et envoi la suivante sur le train.","","2024-10-11T05:55:00.915093Z","2024-10-11T07:45:59.872299Z","2024-10-11","LAC TAF N1","LAC TAF N1","Productivité","Eq. Barresi","Phy 625-8w,9FDA29,Coulée RQ177,Of 581907","","","2024-10-11T07:45:59.733078Z","","","","","","","",
1528955,"Outillage Train","Rebut phyweld 625 le 01/10/24 à 20h00","1ere billette de Phyweld 625 rebut, C23 monte en température (110°+), et fuitl'huile à l'ouverture du capot bloc.","p1 : C23 grilléep2 : Défaut température de la C23 supérieur/supérieur","2024-10-01T18:03:45.471464Z","2024-10-07T09:12:41.975439Z","2024-10-01","LAC Outillage","LAC Outillage,LAC TAF N1","Rebut","Eq. Barresi","9FDA22,PHYWELD 625,587514,RP934","","","2024-10-07T09:12:41.846373Z",3109383,"","Outillage Train",2024-10-01,2024-10-01T18:07:42.203163Z,2024-10-01T18:07:59.987499Z,Completed,
1528955,"Outillage Train","Rebut phyweld 625 le 01/10/24 à 20h00","1ere billette de Phyweld 625 rebut, C23 monte en température (110°+), et fuitl'huile à l'ouverture du capot bloc.","p1 : C23 grilléep2 : Défaut température de la C23 supérieur/supérieur","2024-10-01T18:03:45.471464Z","2024-10-07T09:12:41.975439Z","2024-10-01","LAC Outillage","LAC Outillage,LAC TAF N1","Rebut","Eq. Barresi","9FDA22,PHYWELD 625,587514,RP934","","","2024-10-07T09:12:41.846373Z",3109385,"Démontage C23 complète","Outillage Train",2024-10-01,2024-10-01T18:08:02.410595Z,2024-10-01T18:08:11.816121Z,Completed,
1528955,"Outillage Train","Rebut phyweld 625 le 01/10/24 à 20h00","1ere billette de Phyweld 625 rebut, C23 monte en température (110°+), et fuitl'huile à l'ouverture du capot bloc.","p1 : C23 grilléep2 : Défaut température de la C23 supérieur/supérieur","2024-10-01T18:03:45.471464Z","2024-10-07T09:12:41.975439Z","2024-10-01","LAC Outillage","LAC Outillage,LAC TAF N1","Rebut","Eq. Barresi","9FDA22,PHYWELD 625,587514,RP934","","","2024-10-07T09:12:41.846373Z",3122788,"Contrôler cage 23 au changement","",,2024-10-03T08:36:04.429294Z,2024-10-07T09:12:13.144604Z,Completed,
1521041,"Adrien Chauveau","Rebut bloc 27/09/2024 19:37","Equipe DE MIRANDA, 19h37:Rebut au bloc passe à plat C21, au début de la billette Ok et petit à petit laboîte lâche.C'est le deuxième rebut avec la boîte qui lâche en 1h de temps.","• Rebut bloc• Passe à plat cage 21• BE 21 lâche• ???","2024-09-30T04:13:18.508455Z","2024-10-07T09:11:52.483698Z","2024-09-30","LAC TAF N1","LAC TAF N1","","","Imphy 718,1YAL03,4100790585,Ø10.5","","","2024-10-07T09:11:52.354950Z",3092281,"Dégagement rebut","",,2024-09-30T04:23:36.982279Z,2024-09-30T04:23:47.370634Z,Completed,
1521041,"Adrien Chauveau","Rebut bloc 27/09/2024 19:37","Equipe DE MIRANDA, 19h37:Rebut au bloc passe à plat C21, au début de la billette Ok et petit à petit laboîte lâche.C'est le deuxième rebut avec la boîte qui lâche en 1h de temps.","• Rebut bloc• Passe à plat cage 21• BE 21 lâche• ???","2024-09-30T04:13:18.508455Z","2024-10-07T09:11:52.483698Z","2024-09-30","LAC TAF N1","LAC TAF N1","","","Imphy 718,1YAL03,4100790585,Ø10.5","","","2024-10-07T09:11:52.354950Z",3092282,"Contrôle élévations","",,2024-09-30T04:23:48.784099Z,2024-09-30T04:23:59.549968Z,Completed,
1521041,"Adrien Chauveau","Rebut bloc 27/09/2024 19:37","Equipe DE MIRANDA, 19h37:Rebut au bloc passe à plat C21, au début de la billette Ok et petit à petit laboîte lâche.C'est le deuxième rebut avec la boîte qui lâche en 1h de temps.","• Rebut bloc• Passe à plat cage 21• BE 21 lâche• ???","2024-09-30T04:13:18.508455Z","2024-10-07T09:11:52.483698Z","2024-09-30","LAC TAF N1","LAC TAF N1","","","Imphy 718,1YAL03,4100790585,Ø10.5","","","2024-10-07T09:11:52.354950Z",3092283,"Vérification outillages","",,2024-09-30T04:24:00.411838Z,2024-09-30T04:24:16.393519Z,Completed,
